dim	coefficient
358	0.001132507
359	0.0012810142
360	0.0013027348
361	0.0013518683
362	0.0012467526
363	0.0013054344
364	0.0014269807
365	0.001418141
366	0.0013913324
367	0.0014007237
368	0.0013848922
369	0.0012996586
370	0.0011795883
371	0.0013457657
372	0.0013337258
373	0.0013527751
374	0.0013907518
375	0.0012879149
376	0.0011852139
377	0.0011586787
378	0.0011730152
379	0.0013821432
380	0.0013166257
381	0.0010509088
382	0.0013316539
383	0.0014861507
384	0.0012036413
385	0.0012077419
386	0.0012510185
387	0.0012454488
388	0.0012545683
389	0.0012437844
390	0.0012914457
391	0.0014435725
392	0.0013325866
393	0.001499535
394	0.0013366622
395	0.0013655974
396	0.0014713218
397	0.0013130902
398	0.0014218743
399	0.001306968
400	0.0013143235
401	0.0013074272
402	0.001315828
403	0.001352126
404	0.0014553462
405	0.0013775997
406	0.0011418597
407	0.0012605586
408	0.0014989024
409	0.0011503005
410	0.0012719965
411	0.0013369013
412	0.0013120297
413	0.0012838793
414	0.0012920405
415	0.0012230115
416	0.0014790962
417	0.0012458097
418	0.0013742752
419	0.0012099494
420	0.0011954205
421	0.0013806797
422	0.0013148227
423	0.0012305914
424	0.0013213782
425	0.0012285039
426	0.0011279206
427	0.0012310205
428	0.0012231617
429	0.0012671786
430	0.0013573178
431	0.0013288793
432	0.0018983068
433	0.0011537848
434	0.0011610051
435	0.0012895085
436	0.0012838317
437	0.0011993604
438	0.0012764627
439	0.0014566217
440	0.0011854419
441	0.0012650114
442	0.0012281114
443	0.0013224861
444	0.0012770625
445	0.0017889383
446	0.0013015551
447	0.0012374262
448	0.0013705315
449	0.0012732458
450	0.0012207995
451	0.001423418
452	0.0012952435
453	0.0011021495
454	0.0012254522
455	0.0012236431
456	0.0012814577
457	0.0011294987
458	0.0013104012
459	0.0013855624
460	0.0013720542
461	0.0012398735
462	0.0013340075
463	0.0013940543
464	0.0013608987
465	0.0011120327
466	0.0013899525
467	0.0016550837
468	0.0012857154
469	0.001222433
470	0.0011839003
471	0.0011644559
472	0.0013936445
473	0.001383123
474	0.0011959878
475	0.0012411845
476	0.0012269046
477	0.0012271934
478	0.0013988484
479	0.0012833232
480	0.0013255504
481	0.0011185991
482	0.0011905192
483	0.001333393
484	0.0011649887
485	0.0013169481
486	0.0012702331
487	0.0012648915
488	0.0011810147
489	0.0012188854
490	0.0012874837
491	0.0013148362
492	0.0012009953
493	0.0014995885
494	0.0012647094
495	0.0013376677
496	0.0013265691
497	0.0011662066
498	0.0014319294
499	0.0015760397
500	0.0013053778
501	0.0013192198
502	0.0013394738
503	0.0013732044
504	0.0010434571
505	0.0016108885
506	0.0011638402
507	0.0014158168
508	0.0013067041
509	0.0011724241
510	0.001270425
511	0.0011255867
512	0.0013752481
513	0.0011534113
514	0.001242176
515	0.0012670193
516	0.0014834618
517	0.0011838869
518	0.0013141568
519	0.0011880941
520	0.0013701968
521	0.0014733357
522	0.0012626935
523	0.0013123734
524	0.001232107
525	0.0011588681
526	0.0012033945
527	0.0013227412
528	0.0014896656
529	0.0011358329
530	0.0012886017
531	0.0011322086
532	0.0011545246
533	0.0012798093
534	0.0012639931
